R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
161,,Míchel,Levante,M(C),20(17),5,6,6,-,1,74.8,0.6,1,6.79
163,,Yacine Brahimi,Granada,AM(CLR),21(6),-,1,6,1,1.4,84.6,0.1,1,6.79
162,,Mikel Rico,Granada,DM(C),38,2,-,3,1,0.9,81.6,0.6,1,6.79
164,,Álex Bergantiños,Deportivo La Coruna,DM(C),22(7),1,1,4,-,0.8,80.4,1.5,2,6.78
165,,Christian Stuani,Espanyol,"AM(R),FW",21(11),7,4,14,-,1.5,59.2,3.1,-,6.78
166,,Cristian Sapunaru,Zaragoza,D(R),29,2,-,18,1,0.4,75,1.6,2,6.78
167,,Juanfran,Atletico Madrid,"D(R),M(R)",35,1,3,5,-,0.2,77.7,0.7,-,6.78
168,,Óscar De Marcos,Athletic Bilbao,"D(L),M(CLR)",36,6,3,14,-,1.7,77.8,1,-,6.78
169,,Alexis,Getafe,D(CL),25(1),3,-,11,2,0.4,75.8,1.8,1,6.77
170,,Andrés Túñez,Celta Vigo,D(C),30,-,-,5,-,0.3,75.3,1.5,2,6.77
171,,Geoffrey Kondogbia,Sevilla,DM(C),23(8),1,1,4,-,0.7,86.9,1.1,1,6.77
172,,Helder Postiga,Zaragoza,FW,36(1),14,-,7,-,3.1,67.6,3.1,2,6.77
173,,Jonny,Celta Vigo,D(R),19,-,-,5,-,0.2,71.6,1.7,-,6.77
174,,David Navarro,Levante,D(C),35,1,2,8,1,0.4,74.9,1.9,-,6.76
175,,David Villa,Barcelona,"AM(LR),FW",17(11),10,5,1,-,1.6,83,0.1,-,6.76
176,,João Pereira,Valencia,D(R),28(2),-,3,9,-,0.1,83.4,0.3,-,6.76
177,,Ibai Gómez,Athletic Bilbao,AM(L),17(18),4,9,1,-,1.8,73.1,0.2,2,6.75
178,,Obafemi Martins,Levante,FW,18(3),7,2,6,-,1.6,76.5,1.7,1,6.75
179,,Iñigo López,Granada,D(C),21(2),-,-,8,-,0.7,77.1,3.6,-,6.74
180,,Omar Ramos,Valladolid,AM(LR),29(5),1,5,5,-,0.9,81.6,0.6,-,6.74
