R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
201,,Javier Márquez,Mallorca,M(C),19(6),3,2,7,1,1.2,73,0.8,-,6.68
203,,Michael Krohn-Dehli,Celta Vigo,AM(CL),32(2),1,6,7,-,1.3,82.2,0.3,2,6.68
202,,Joan Verdú,Espanyol,M(C),36(1),9,3,7,-,1.6,80.5,0.4,-,6.68
204,,Youssef El-Arabi,Granada,"AM(CL),FW",23(8),8,1,4,-,1.8,66,2.6,-,6.67
205,,Kike Sola,Osasuna,FW,24(7),9,1,3,-,1.4,57.2,2.8,1,6.66
206,,Roque Santa Cruz,Malaga,FW,15(16),8,2,2,-,1.2,69.5,2.9,-,6.66
207,,Joel Campbell,Real Betis,"AM(LR),FW",21(7),2,3,7,1,1.5,67.4,1.1,1,6.65
208,,Jon Aurtenetxe,Athletic Bilbao,D(L),24(3),1,3,2,-,0.4,74.7,1.6,1,6.65
209,,José Mari,Zaragoza,DM(C),16(8),-,-,10,1,0.9,76.3,2,1,6.65
210,,Rubén García,Levante,AM(CL),21(10),4,3,4,-,1,69.7,0.2,1,6.65
211,,Álex López,Celta Vigo,M(C),30(3),2,1,5,-,1.6,86.8,0.5,-,6.64
212,,Antonio Rukavina,Valladolid,D(R),37,1,2,5,-,0.4,75.7,0.3,-,6.64
213,,Javi Chica,Real Betis,D(LR),21(1),-,1,4,-,0.8,73.7,0.7,-,6.64
214,,Glenn Loovens,Zaragoza,D(C),21,-,-,6,2,0.4,79.1,1.9,-,6.64
215,,Iker Muniain,Athletic Bilbao,AM(CL),27(6),1,1,7,1,0.8,81.3,0.2,-,6.64
216,,Juan Carlos,Real Betis,AM(L),21(4),-,3,4,-,0.8,68.9,0.8,1,6.64
217,,Odion Ighalo,Granada,FW,19(9),5,2,4,-,1.9,70.8,1,-,6.64
218,,Diego Castro,Getafe,AM(CLR),30(4),7,3,10,1,1.6,76.6,0.4,-,6.63
219,,Iriney,Granada,DM(C),21(4),-,-,5,1,0.3,82.9,1.1,-,6.62
220,,Barkero,Levante,M(CL),25(3),5,1,5,-,2,65.5,1.5,1,6.62
